Inside 20,Inside 20.1,Inside 20.2,Inside 20.3,Inside 10,Inside 10.1,Inside 10.2,Inside 10.3,Inside 5,Inside 5.1,Inside 5.2,Inside 5.3
Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush
1,-4,0,1.4%,1,-4,0,2.3%,0,0,0,.0%
1,0,0,.9%,1,0,0,1.7%,0,0,0,.0%
1,-2,0,1.1%,1,-2,0,1.9%,1,-2,0,5.9%
1,1,0,.8%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.4%,1,0,0,2.6%,0,0,0,.0%
1,10,0,.9%,0,0,0,.0%,0,0,0,.0%
1,7,0,2.8%,1,7,0,6.3%,0,0,0,.0%
1,9,0,1.5%,0,0,0,.0%,0,0,0,.0%
1,-6,0,1.4%,0,0,0,.0%,0,0,0,.0%
1,0,0,1.9%,0,0,0,.0%,0,0,0,.0%
1,3,0,1.4%,1,3,0,2.6%,0,0,0,.0%
1,18,1,1.4%,0,0,0,.0%,0,0,0,.0%
1,3,1,.9%,1,3,1,1.5%,1,3,1,2.9%
