Player,Position,Team,Age,Model_Rank,Expert_Rank,Rank_Difference,Model_Points,Expert_Points,Points_Difference,Edge_Category,ADP,Expert_Tier,Expert_Pos_Rank,Pos_Rank_Difference
Kenneth Gainwell,RB,PHI,25.0,201,341.0,140.0,101.9,30.7,71.2,Strong Buy,,19.0,84.0,
Devin Singletary,RB,NYG,27.0,202,320.0,118.0,99.6,35.3,64.3,Strong Buy,231.4,18.0,79.0,
Foster Moreau,TE,NOR,27.0,203,175.0,-28.0,98.6,47.1,51.5,Fade,,13.0,37.0,
Tyler Goodson,RB,IND,24.0,204,354.0,150.0,98.1,28.3,69.8,Strong Buy,,19.0,88.0,
Isiah Pacheco,RB,KAN,25.0,205,54.0,-151.0,97.9,142.8,-44.9,Strong Fade,74.1,9.0,28.0,
Jalen Nailor,WR,MIN,25.0,206,308.0,102.0,96.8,48.9,47.9,Strong Buy,,18.0,103.0,
Ricky Pearsall,WR,SFO,24.0,207,116.0,-91.0,95.6,114.4,-18.8,Strong Fade,111.5,10.0,44.0,
Trey Sermon,RB,IND,25.0,208,447.0,239.0,94.5,4.4,90.1,Strong Buy,,21.0,137.0,
Mack Hollins,WR,BUF,31.0,209,399.0,190.0,93.9,26.1,67.8,Strong Buy,,20.0,131.0,
Diontae Johnson,WR,3TM,28.0,210,220.0,10.0,93.6,65.1,28.5,Slight Buy,221.1,16.0,79.0,
Ray Davis,RB,BUF,25.0,211,151.0,-60.0,93.0,86.5,6.5,Strong Fade,140.1,14.0,46.0,
Jaylen Wright,RB,MIA,21.0,212,177.0,-35.0,92.9,73.3,19.6,Fade,167.0,15.0,56.0,
Emanuel Wilson,RB,GNB,25.0,213,361.0,148.0,92.4,26.3,66.1,Strong Buy,,19.0,92.0,
Dameon Pierce,RB,HOU,24.0,214,345.0,131.0,91.9,29.4,62.5,Strong Buy,,19.0,86.0,
T.J. Hockenson,TE,MIN,27.0,215,72.0,-143.0,91.9,102.3,-10.4,Strong Fade,78.2,4.0,7.0,
Zack Moss,RB,CIN,27.0,216,243.0,27.0,91.5,47.4,44.1,Buy,148.8,17.0,68.0,
Jalen Coker,WR,CAR,23.0,217,245.0,28.0,91.0,58.5,32.5,Buy,219.9,16.0,88.0,
KaVontae Turpin*+,WR,DAL,28.0,218,295.0,77.0,91.0,50.5,40.5,Strong Buy,,17.0,100.0,
Brenton Strange,TE,JAX,24.0,219,125.0,-94.0,90.3,72.6,17.7,Strong Fade,178.5,9.0,24.0,
Tim Patrick,WR,DET,31.0,220,363.0,143.0,90.2,37.4,52.8,Strong Buy,,19.0,118.0,
Jacoby Brissett,QB,NWE,32.0,221,546.0,325.0,89.3,11.2,78.1,Strong Buy,,27.0,46.0,
