Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
117.0,Jabar Gaffney,23.0,HOU,WR,16.0,11.0,57.0,34.0,402.0,11.8,2.0,20.0,47.4,33.0,2.1,25.1,59.6,7.1,0.0,
118.0,Joey Galloway,32.0,DAL,WR,15.0,13.0,83.0,34.0,672.0,19.8,2.0,27.0,39.8,64.0,2.3,44.8,41.0,8.1,1.0,
119.0,David Givens,23.0,NWE,WR,13.0,5.0,54.0,34.0,510.0,15.0,6.0,24.0,55.6,57.0,2.6,39.2,63.0,9.4,0.0,
120.0,Cory Schlesinger,31.0,DET,FB,16.0,10.0,49.0,34.0,247.0,7.3,2.0,11.0,44.9,33.0,2.1,15.4,69.4,5.0,0.0,
121.0,Charles Lee,26.0,TAM,WR,8.0,5.0,46.0,33.0,432.0,13.1,2.0,20.0,63.0,72.0,4.1,54.0,71.7,9.4,0.0,
122.0,Drew Bennett,25.0,TEN,WR,12.0,8.0,54.0,32.0,504.0,15.8,4.0,27.0,53.7,48.0,2.7,42.0,59.3,9.3,0.0,
123.0,Marc Edwards,29.0,JAX,FB,16.0,16.0,43.0,31.0,226.0,7.3,0.0,11.0,46.5,32.0,1.9,14.1,72.1,5.3,0.0,
124.0,Doug Jolley,24.0,OAK,TE,15.0,9.0,54.0,31.0,250.0,8.1,1.0,11.0,44.4,26.0,2.1,16.7,57.4,4.6,0.0,
125.0,Marcus Robinson,28.0,BAL,WR,15.0,5.0,62.0,31.0,451.0,14.5,6.0,23.0,46.8,50.0,2.1,30.1,50.0,7.3,0.0,
126.0,Bubba Franks,25.0,GNB,TE,16.0,15.0,44.0,30.0,241.0,8.0,4.0,13.0,50.0,24.0,1.9,15.1,68.2,5.5,0.0,PB
127.0,Marcel Shipp,25.0,ARI,RB,16.0,11.0,37.0,30.0,184.0,6.1,0.0,6.0,32.4,34.0,1.9,11.5,81.1,5.0,3.0,
128.0,Kyle Brady,31.0,JAX,TE,16.0,15.0,46.0,29.0,281.0,9.7,1.0,16.0,47.8,26.0,1.8,17.6,63.0,6.1,3.0,
129.0,Nate Burleson,22.0,MIN,WR,16.0,9.0,57.0,29.0,455.0,15.7,2.0,17.0,47.4,52.0,1.8,28.4,50.9,8.0,1.0,
130.0,Dallas Clark,24.0,IND,TE,10.0,10.0,42.0,29.0,340.0,11.7,1.0,16.0,52.4,42.0,2.9,34.0,69.0,8.1,0.0,
131.0,Brandon Manumaleuna,23.0,STL,TE,16.0,15.0,45.0,29.0,238.0,8.2,2.0,9.0,40.0,39.0,1.8,14.9,64.4,5.3,0.0,
132.0,Mack Strong,32.0,SEA,FB,16.0,9.0,33.0,29.0,216.0,7.4,0.0,9.0,48.5,32.0,1.8,13.5,87.9,6.5,1.0,
133.0,Christian Fauria,32.0,NWE,TE,16.0,12.0,45.0,28.0,285.0,10.2,2.0,14.0,55.6,28.0,1.8,17.8,62.2,6.3,0.0,
134.0,Travis Henry,25.0,BUF,RB,15.0,15.0,40.0,28.0,158.0,5.6,1.0,9.0,37.5,18.0,1.9,10.5,70.0,4.0,7.0,
135.0,Jerry Porter,25.0,OAK,WR,10.0,1.0,57.0,28.0,361.0,12.9,1.0,21.0,47.4,35.0,2.8,36.1,49.1,6.3,1.0,
136.0,Wayne Chrebet,30.0,NYJ,WR,7.0,5.0,44.0,27.0,289.0,10.7,1.0,15.0,38.6,29.0,3.9,41.3,61.4,6.6,0.0,
137.0,Darnerien McCants,27.0,WAS,WR,15.0,1.0,55.0,27.0,360.0,13.3,6.0,20.0,43.6,32.0,1.8,24.0,49.1,6.5,0.0,
138.0,Ricky Proehl,35.0,CAR,WR,16.0,2.0,52.0,27.0,389.0,14.4,4.0,16.0,40.4,66.0,1.7,24.3,51.9,7.5,0.0,
139.0,L.J. Smith,23.0,PHI,TE,15.0,5.0,46.0,27.0,321.0,11.9,1.0,15.0,47.8,36.0,1.8,21.4,58.7,7.0,1.0,
140.0,Tim Carter,24.0,NYG,WR,12.0,2.0,52.0,26.0,309.0,11.9,0.0,12.0,40.4,30.0,2.2,25.8,50.0,5.9,0.0,
141.0,Ernie Conwell,31.0,NOR,TE,10.0,10.0,44.0,26.0,290.0,11.2,2.0,15.0,45.5,32.0,2.6,29.0,59.1,6.6,1.0,
142.0,Brian Finneran,27.0,ATL,WR,12.0,10.0,54.0,26.0,368.0,14.2,2.0,21.0,46.3,38.0,2.2,30.7,48.1,6.8,0.0,
143.0,DeShaun Foster,23.0,CAR,RB,14.0,2.0,35.0,26.0,207.0,8.0,2.0,7.0,45.7,47.0,1.9,14.8,74.3,5.9,3.0,
144.0,Jamal Lewis,24.0,BAL,RB,16.0,16.0,38.0,26.0,205.0,7.9,0.0,10.0,47.4,26.0,1.6,12.8,68.4,5.4,8.0,"PB,AP-1,AP MVP-4,AP OPoY-1"
145.0,Derrius Thompson,26.0,MIA,WR,16.0,12.0,59.0,26.0,359.0,13.8,0.0,19.0,42.4,31.0,1.6,22.4,44.1,6.1,0.0,
